"district_id","state_id","n_nonmuslim","n_muslim","employment_rate_nonmuslim","employment_rate_muslim","within_gap"
22,"(10) Bihar 10",367,227,28.8828337874659,14.5374449339207,-14.3453888535452
22,"(23) Madhya Pradesh 23",212,64,42.4528301886792,40.625,-1.82783018867924
22,"(24) Gujarat 24",450,103,33.1111111111111,30.0970873786408,-3.01402373247034
22,"(28) Andhra Pradesh 28",505,33,57.8217821782178,54.5454545454545,-3.27632763276328
23,"(09) Uttar Pradesh 09",702,108,50.4273504273504,40.7407407407407,-9.68660968660969
23,"(23) Madhya Pradesh 23",1076,22,62.546468401487,40.9090909090909,-21.6373774923961
23,"(27) Maharashtra 27",1395,65,32.9749103942652,29.2307692307692,-3.744141163496
23,"(28) Andhra Pradesh 28",444,31,47.0720720720721,32.258064516129,-14.814007555943
24,"(08) Rajasthan 08",958,186,55.741127348643,47.3118279569892,-8.42929939165376
24,"(09) Uttar Pradesh 09",607,261,48.1054365733114,39.0804597701149,-9.02497680319642
24,"(29) Karnataka 29",486,73,52.880658436214,36.986301369863,-15.894357066351
24,"(33) Tamil Nadu 33",324,22,33.9506172839506,27.2727272727273,-6.67789001122335
25,"(27) Maharashtra 27",1221,47,40.04914004914,21.2765957446809,-18.7725443044592
25,"(29) Karnataka 29",604,271,58.9403973509934,36.5313653136531,-22.4090320373402
26,"(08) Rajasthan 08",654,33,53.5168195718654,36.3636363636364,-17.1531832082291
26,"(10) Bihar 10",152,51,36.1842105263158,21.5686274509804,-14.6155830753354
26,"(23) Madhya Pradesh 23",343,81,42.8571428571429,34.5679012345679,-8.28924162257496
26,"(27) Maharashtra 27",666,30,56.9069069069069,46.6666666666667,-10.2402402402402
26,"(29) Karnataka 29",1106,53,50.1808318264015,22.6415094339623,-27.5393223924392
27,"(10) Bihar 10",702,173,37.4643874643875,24.2774566473988,-13.1869308169886
27,"(23) Madhya Pradesh 23",591,39,55.4991539763113,25.6410256410256,-29.8581283352857
27,"(27) Maharashtra 27",612,33,57.3529411764706,60.6060606060606,3.25311942959002
27,"(29) Karnataka 29",575,40,55.304347826087,42.5,-12.804347826087
27,"(33) Tamil Nadu 33",115,56,24.3478260869565,33.9285714285714,9.58074534161491
28,"(10) Bihar 10",318,114,36.1635220125786,31.5789473684211,-4.58457464415756
29,"(08) Rajasthan 08",359,57,36.4902506963788,33.3333333333333,-3.1569173630455
29,"(09) Uttar Pradesh 09",618,70,44.336569579288,41.4285714285714,-2.90799815071659
29,"(23) Madhya Pradesh 23",68,182,33.8235294117647,40.6593406593407,6.83581124757595
29,"(27) Maharashtra 27",182,49,34.0659340659341,36.734693877551,2.66875981161696
29,"(29) Karnataka 29",333,21,56.7567567567568,14.2857142857143,-42.4710424710425
29,"(33) Tamil Nadu 33",493,75,45.841784989858,24,-21.841784989858
30,"(10) Bihar 10",214,52,29.9065420560748,32.6923076923077,2.78576563623293
30,"(23) Madhya Pradesh 23",229,56,52.8384279475983,35.7142857142857,-17.1241422333125
30,"(27) Maharashtra 27",1231,77,38.0991064175467,28.5714285714286,-9.52767784611814
30,"(33) Tamil Nadu 33",386,85,38.860103626943,16.4705882352941,-22.3895153916489
31,"(08) Rajasthan 08",151,41,46.3576158940397,39.0243902439024,-7.33322565013729
31,"(27) Maharashtra 27",1117,47,40.1969561324978,38.2978723404255,-1.89908379207223
32,"(08) Rajasthan 08",784,200,57.3979591836735,43.5,-13.8979591836735
32,"(10) Bihar 10",998,161,32.2645290581162,24.8447204968944,-7.41980856122182
32,"(23) Madhya Pradesh 23",48,149,45.8333333333333,36.241610738255,-9.59172259507829
33,"(09) Uttar Pradesh 09",201,45,49.7512437810945,40,-9.75124378109453
34,"(09) Uttar Pradesh 09",370,284,50.5405405405405,31.3380281690141,-19.2025123715264
35,"(10) Bihar 10",238,30,23.9495798319328,23.3333333333333,-0.616246498599441
36,"(09) Uttar Pradesh 09",331,54,30.5135951661631,42.5925925925926,12.0789974264295
38,"(23) Madhya Pradesh 23",157,39,36.3057324840764,41.025641025641,4.71990854156459
45,"(09) Uttar Pradesh 09",744,49,41.8010752688172,24.4897959183673,-17.3112793504499
46,"(09) Uttar Pradesh 09",127,105,27.5590551181102,27.6190476190476,0.0599925009373834
47,"(09) Uttar Pradesh 09",491,52,43.5845213849287,34.6153846153846,-8.9691367695441
48,"(09) Uttar Pradesh 09",347,49,42.3631123919308,30.6122448979592,-11.7508674939717
49,"(09) Uttar Pradesh 09",733,112,48.5675306957708,53.5714285714286,5.00389787565776
50,"(09) Uttar Pradesh 09",233,129,57.9399141630901,50.3875968992248,-7.55231726386533
51,"(09) Uttar Pradesh 09",250,77,65.6,44.1558441558442,-21.4441558441559
54,"(09) Uttar Pradesh 09",669,361,53.0642750373692,50.9695290858726,-2.09474595149663
58,"(09) Uttar Pradesh 09",178,75,37.6404494382022,30.6666666666667,-6.97378277153558
59,"(09) Uttar Pradesh 09",627,164,47.8468899521531,38.4146341463415,-9.43225580581165
60,"(09) Uttar Pradesh 09",140,21,45.7142857142857,33.3333333333333,-12.3809523809524
62,"(09) Uttar Pradesh 09",117,207,34.1880341880342,38.1642512077295,3.97621701969528
63,"(09) Uttar Pradesh 09",224,29,34.8214285714286,41.3793103448276,6.55788177339902
65,"(09) Uttar Pradesh 09",1141,189,45.9246275197195,24.3386243386243,-21.5860031810952
66,"(09) Uttar Pradesh 09",575,31,50.4347826086956,41.9354838709677,-8.49929873772791
67,"(09) Uttar Pradesh 09",638,56,39.8119122257053,37.5,-2.31191222570533
68,"(09) Uttar Pradesh 09",820,107,45.2439024390244,46.7289719626168,1.48506952359244
